커패시터(F),재질,내압(V)
5p,세라믹,
10p,세라믹,
22p,세라믹,
100p,세라믹,
0.00047u,세라믹,
0.0005u,세라믹,
0.001u,세라믹,
0.001u,필름,100
0.0022u,세라믹,
0.0022u,필름,100
0.0033u,필름,100
0.0047u,세라믹,
0.01u,세라믹,
0.022u,전해,50
0.022u,필름,100
0.033u,세라믹,
0.033u,필름,100
0.047u,세라믹,
0.047u,필름,100
0.05u,필름,100
0.1u,필름,100
0.1u,전해,50
0.1u,세라믹,
0.2u,세라믹,
0.22u,세라믹,
0.22u,전해,50
0.22u,필름,100
0.47u,필름,100
1u,전해,50
2.2u,전해,50
4.7u,전해,50
4.7u,전해,400
10u,전해,200
10u,전해,35
47u,전해,16
100u,전해,16
100u,전해,25
100u,전해,50
220u,전해,25
470u,전해,16
1000u,전해,10
1000u,전해,25
2200u,전해,16
